														5784																																				
	UID	채널명	channel	설계서경로	SB_number	모듈유형	module_type	개발유형	dev_type	구현유형	screen_type	고유번호	screen_id_old	screen_id_new	screen_name	참고 ID	로그인 필요 기능	스펙아웃	Specout	Specout Date	1Depth	2Depth	3Depth	4Depth	5Depth	6Depth	7Depth	8Depth	9Depth	10Depth	11Depth	12Depth	13Depth	14Depth	15Depth	참고 설명	변경 일	비고	검토 및 수정 사항	fadeout 권고 대상	fade out 권고 사유 	fade out 기능 매핑	API 호출량	개발 IA ID	메가프로세스 1	메가프로세스 2	메가프로세스 3	메가프로세스 4	메가프로세스 5	메가프로세스 6
	TM_FO_1_0015	TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	PU_Popup	PU	005	none	TM-MY-AGR-MO-01-PU-005	[선택] T 멤버십 위치기반서비스 이용약관 (Pull Popup)		TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회, 전체 약관 5개)	[선택] T 멤버십 위치기반서비스 이용약관 (Pull Popup)																비대상					-	-	-	-	-	-
	TM_FO_1_0016	TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	PU_Popup	PU	006	none	TM-MY-AGR-MO-01-PU-006	[선택] T 멤버십 개인위치정보 이용동의 (Pull Popup)		TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회, 전체 약관 5개)	[선택] T 멤버십 개인위치정보 이용동의 (Pull Popup)																비대상					-	-	-	-	-	-
	TM_FO_1_0017	TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	LP_Layer-Popup	LP	007	PO_UI_01_01	TM-MY-AGR-MO-01-LP-007	T 멤버십 서비스 약관 동의 (최초 1회 이후, 기본 약관 3개)		TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회 이후, 기본 약관 3개)													입력된 T 아이디 정보와 일치하는 계정 없는 경우 :		서비스 약관 동의 안 한 경우 메인 노출		비대상					-	-	-	-	-	-
		TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	PU_Popup	PU		none		참고) '[선택] 광고성 정보 수신 동의 (Pull Popup)'과 동일	TM-MY-AGR-MO-01-PU-003	TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회 이후, 기본 약관 3개)	참고) '[선택] 광고성 정보 수신 동의 (Pull Popup)'과 동일												case 5_ 신규가입_ CI 값 존재 :				비대상										
		TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	PU_Popup	PU		none		참고) '[선택] 개인정보 수집/이용동의 (Pull Popup)' 과 동일	TM-MY-AGR-MO-01-PU-004	TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회 이후, 기본 약관 3개)	참고) '[선택] 개인정보 수집/이용동의 (Pull Popup)' 과 동일																비대상										
	TM_FO_1_0020	TM_T멤버십	TM	01_메인	01	MY-AGR_고객-통합약관	MY-AGR	MO_only	MO	LP_Layer-Popup	LP	010	PO_UI_01_	TM-MY-AGR-MO-01-LP-010	T 멤버십 서비스 약관 동의 (최초 1회 이후, 앱 푸시 약관)		TRUE	FALSE			Main	T 멤버십 (탭)	T 멤버십 서비스 약관 동의 (최초 1회 이후, 앱 푸시 약관)																	비대상					-	-	-	-	-	-
	TM_FO_1_0011	TM_T멤버십	TM	01_메인	01	DSP-MAIN_전시-메인	DSP-MAIN	MO_only	MO	PG_Page	PG	001	PO_UI_01	TM-DSP-MAIN-MO-01-PG-001	T 멤버십 (탭)		FALSE	FALSE			Main	T 멤버십 (탭)																		비대상			80277281	T 멤버십_FO_MO_0232	T멤버십 클럽 멤버십 혜택 전용 쿠폰 적립 프로세스	T멤버십 T Day 혜택 사용 프로세스	T멤버십 카드 신청 프로세스	출석체크 혜택 미션 참여 프로세스	룰렛 이벤트 혜택 미션 참여 프로세스	-
		TM_T멤버십	TM	01_메인	01	DSP-MAIN_전시-메인	DSP-MAIN	MO_only	MO	PG_Page	PG		none		쿠폰함 참고) 'T 멤버십 쿠폰(탭)' 과 동일	TM-MY-CPN-MO-08-PG-002	TRUE	FALSE			Main	헤더	쿠폰함 참고) 'T 멤버십 쿠폰(탭)' 과 동일																	비대상										
		TM_T멤버십	TM	01_메인	01	DSP-MAIN_전시-메인	DSP-MAIN	MO_only	MO	PG_Page	PG		none		참고) '검색' 과 동일	TM-DSP-SCH-MO-12-PG-001	FALSE	FALSE			Main	헤더	참고) '검색' 과 동일																	비대상										
	TM_FO_1_0021	TM_T멤버십	TM	01_메인	01	DSP-BNR_전시-배너	DSP-BNR	MO_only	MO	PG_Page	PG	011	PO_UI_02	TM-DSP-BNR-MO-01-PG-011	배너 전체보기		FALSE	FALSE			Main	T 멤버십 (탭)	최상단 카드	배너 전체보기																비대상				T 멤버십_FO_MO_0233	-	-	-	-	-	-
